time,x,y,x1,y1,theta_left,theta_right,theta
5.3,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.32,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.34,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.36,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.38,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.4,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.42,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.44,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.46,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.48,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.5,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.52,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.54,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.56,48.0,169.0,92.0,171.0,0.0,0.0,0.0
5.58,48.0,169.0,92.0,170.0,0.0,0.0,0.0
5.6,48.0,169.0,92.0,171.0,0.0,0.0,0.0
5.62,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.64,48.0,169.0,92.0,171.0,0.0,0.0,0.0
5.66,48.0,169.0,92.0,171.0,0.0,0.0,0.0
5.68,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.7,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.72,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.74,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.76,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.78,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.8,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.82,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.84,48.0,170.0,92.0,171.0,0.0,0.0,0.0
5.86,48.0,170.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.88,48.0,170.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.9,48.0,170.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.92,48.0,170.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.94,48.0,170.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.96,48.0,170.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.98,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.0,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.02,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.04,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.06,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.08,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.1,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.12,48.0,169.0,92.0,171.0,0.0,0.0,0.0
6.14,48.0,169.0,92.0,171.0,0.0,0.0,0.0
6.16,48.0,169.0,92.0,171.0,0.0,0.0,0.0
6.18,48.0,169.0,92.0,171.0,0.0,0.0,0.0
6.2,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.22,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.24,48.0,169.0,92.0,171.0,0.0,0.0,0.0
6.26,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.28,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.3,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.32,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.34,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.36,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.38,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.4,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.42,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.44,48.0,170.0,92.0,171.0,0.0,0.0,0.0
6.46,48.0,170.0,92.0,171.0,0.0,0.0,0.0
